Date,Hour,PV Generation (MW),Wind Generation (MW)
1-Feb,11,0.113,0.232
1-Feb,12,0.118,0.211
1-Feb,13,0.104,0.182
1-Feb,14,0.059,0.166
1-Feb,15,0.014,0.157
1-Feb,16,0.000,0.157
1-Feb,17,0.000,0.154
1-Feb,18,0.000,0.155
1-Feb,19,0.000,0.137
1-Feb,20,0.000,0.121
1-Feb,21,0.000,0.111
1-Feb,22,0.000,0.107
1-Feb,23,0.000,0.105
2-Feb,0,0.000,0.105
2-Feb,1,0.000,0.095
2-Feb,2,0.000,0.087
2-Feb,3,0.000,0.086
2-Feb,4,0.000,0.082
2-Feb,5,0.000,0.082
2-Feb,6,0.000,0.081
2-Feb,7,0.008,0.075
2-Feb,8,0.031,0.071
2-Feb,9,0.059,0.056
2-Feb,10,0.096,0.049
2-Feb,11,0.118,0.045
2-Feb,12,0.135,0.044
2-Feb,13,0.113,0.046
2-Feb,14,0.060,0.051
2-Feb,15,0.014,0.067
2-Feb,16,0.000,0.084
2-Feb,17,0.000,0.091
2-Feb,18,0.000,0.098
2-Feb,19,0.000,0.110
2-Feb,20,0.000,0.119
2-Feb,21,0.000,0.121
2-Feb,22,0.000,0.122
2-Feb,23,0.000,0.134
3-Feb,0,0.000,0.152
3-Feb,1,0.000,0.183
3-Feb,2,0.000,0.216
3-Feb,3,0.000,0.230
3-Feb,4,0.000,0.237
3-Feb,5,0.000,0.236
3-Feb,6,0.000,0.246
3-Feb,7,0.007,0.262
3-Feb,8,0.037,0.246
3-Feb,9,0.079,0.214
3-Feb,10,0.117,0.202
3-Feb,11,0.121,0.213
3-Feb,12,0.109,0.223
3-Feb,13,0.086,0.231
3-Feb,14,0.050,0.222
3-Feb,15,0.015,0.221
3-Feb,16,0.000,0.238
3-Feb,17,0.000,0.237
3-Feb,18,0.000,0.235
3-Feb,19,0.000,0.244
3-Feb,20,0.000,0.246
3-Feb,21,0.000,0.238
3-Feb,22,0.000,0.234
3-Feb,23,0.000,0.230
4-Feb,0,0.000,0.244
4-Feb,1,0.000,0.260
4-Feb,2,0.000,0.261
4-Feb,3,0.000,0.270
4-Feb,4,0.000,0.277
4-Feb,5,0.000,0.292
4-Feb,6,0.000,0.315
4-Feb,7,0.032,0.333
4-Feb,8,0.125,0.332
4-Feb,9,0.224,0.327
4-Feb,10,0.305,0.328
4-Feb,11,0.350,0.348
4-Feb,12,0.330,0.364
4-Feb,13,0.249,0.367
4-Feb,14,0.139,0.379
4-Feb,15,0.039,0.418
4-Feb,16,0.001,0.491
4-Feb,17,0.000,0.542
4-Feb,18,0.000,0.566
4-Feb,19,0.000,0.564
4-Feb,20,0.000,0.566
4-Feb,21,0.000,0.542
4-Feb,22,0.000,0.531
4-Feb,23,0.000,0.504
5-Feb,0,0.000,0.478
5-Feb,1,0.000,0.448
5-Feb,2,0.000,0.413
5-Feb,3,0.000,0.372
5-Feb,4,0.000,0.351
5-Feb,5,0.000,0.345
5-Feb,6,0.000,0.326
5-Feb,7,0.021,0.306
5-Feb,8,0.082,0.266
5-Feb,9,0.140,0.267
5-Feb,10,0.181,0.237
5-Feb,11,0.202,0.227
5-Feb,12,0.197,0.216
5-Feb,13,0.164,0.206
5-Feb,14,0.097,0.191
5-Feb,15,0.032,0.178
5-Feb,16,0.001,0.183
5-Feb,17,0.000,0.186
5-Feb,18,0.000,0.181
5-Feb,19,0.000,0.188
5-Feb,20,0.000,0.204
5-Feb,21,0.000,0.212
5-Feb,22,0.000,0.207
5-Feb,23,0.000,0.209
